Comment,Author,LikeCount,PublishedAt,Tokens,Sentiment
어쩌냐 ㅋㅋㅋ한국 선동 보도국들 증거 수집한거 전부 미 국토안보부 인사직들 바뀌면 제버 예정인데 ㅋㅋㅋ 내가 한국 기자들 2명 영구 입국금지 시킨 사례도 있어 ㅋㅋㅋㅋㅋㅋ,@ViewForYou,0,2024-11-06T12:16:42Z,"['한국', '선동', '보도국', '증거', '수집', '전부', '국토', '안보부', '인사', '제버', '예정', '한국', '기자', '영구', '입국', '금지', '사례']",0.1
"한국의 😈😈좌파노조 장악된 언론들(kbs.mbc.ytn.jtbc.연합뉴스, cbs. 등등) ❤트럼프는 까고, 😈해리스 띄운 사악한 가짜뉴스 계속 해대더니 나쁜 언론사들 사과하라!!!",@ehgg7896,0,2024-11-06T12:17:27Z,"['한국', '좌파', '노조', '장악', '언론', '연합뉴스', '트럼프', '해리스', '사악', '가짜', '뉴스', '언론사', '사과']",-0.5
언론(해리스)vs도박판(트럼프),@궁금한이야기Y-b5q,0,2024-11-06T12:18:00Z,"['언론', '해리스', '도박판', '트럼프']",0.2
정의는 승리한다,@etwa1110,0,2024-11-06T12:18:07Z,"['정의', '승리']",0.1
이젠 한국 핵무장 가즈아 ~~~~,@마부치-v7s,0,2024-11-06T12:18:17Z,"['이제', '한국', '핵무장', '가즈아']",0.0
😈😈😈😈한국 언론사들 싹다 망해라!!!  가짜뉴스로 국민선동질,@ehgg7896,0,2024-11-06T12:18:53Z,"['한국', '언론사', '가짜', '뉴스', '국민', '선동']",0.2
트럼프 또 대통령 되믄 우리나라   대통령 탄핵하나,@옆집할머니-x9b,0,2024-11-06T12:19:00Z,"['트럼프', '대통령', '우리나라', '대통령', '탄핵', '하나']",-0.5
"❤트럼프❤ 한국 보쑤 언론 다수가. ~. 해리스 승리를. 은근히. 바랐지. ???   ,,,  😎😎😎미국은 여론조사.  조작 안하나 보네. ???ㅋㅋ😎😎😎",@bluej8089,0,2024-11-06T12:19:04Z,"['트럼프', '한국', '보쑤', '언론', '다수', '해리스', '승리', '미국', '여론', '조사', '조작']",-0.7
트럼프가 승리한게 아니라 머스크가 이긴거지..,@Rib1_an,0,2024-11-06T12:19:24Z,"['트럼프', '승리', '머스크']",0.5
우리나라 언론이 판검사와 뭐가 다르냐....국민을 개돼지로 보는놈들,@vexviet,0,2024-11-06T12:19:59Z,"['우리나라', '언론', '판검사', '국민', '개돼지']",0.8
트럼프 멋진남자야 싸나이야 싸나이 ㅡㅡㅡㅡ,@좀비척살,0,2024-11-06T12:20:34Z,"['트럼프', '남자', '싸나이야', '싸나이']",-0.8
중립을 지켜야할방송이 선동방송거짓으로 변질되었음,@민돌이-i2m,0,2024-11-06T12:21:10Z,"['중립', '방송', '선동', '방송', '거짓', '변질']",0.1
세상 좌파들 다 없애주세요🎉🎉,@aingtv0202,0,2025-02-19T15:01:43Z,"['세상', '좌파']",-0.7
대한민국 언론을 평가하면신문지에 똥싸고  말아 버리는것,@푸우-e9n,0,2024-11-06T12:12:47Z,"['대한민국', '언론', '평가', '신문지']",0.2
무능한 한국언론 그냥 미국 좌파언론 그대로 좌빨더만 우리가 트형 압승이라 했는데,@dinglisa480,0,2024-11-06T12:12:27Z,"['무능', '한국', '언론', '미국', '좌파', '언론', '좌빨더', '우리', '트형', '압승']",0.0
